Area Name,Labor Force,Employment,Unemployment Number,Unemployment Rate,Census Ratios Emp,Census Ratios Unemp
San Rafael city,"30,300","28,900","1,400",4.5%,N/A,N/A
Sausalito city,"4,100","3,900",200,5.3%,0.031590,0.037340
Tamalpais Homestead Valley CDP,"6,100","5,900",200,3.0%,0.047851,0.030576
Tomales CDP,100,100,0,0.0%,0.000773,0.000000
,,,,,,
,,,,,,
Santa Clara County                                          ,"1,012,400","963,700","48,600",4.8%,1.000000,1.000000
,,,,,,
Campbell city,"26,100","24,900","1,100",4.4%,N/A,N/A
Cupertino city,"28,000","27,000","1,100",3.8%,N/A,N/A
East Foothills CDP,"4,000","3,800",200,4.1%,0.003986,0.003365
Gilroy city,"28,100","26,300","1,800",6.3%,N/A,N/A
Los Altos city,"14,200","13,700",500,3.5%,N/A,N/A
Los Gatos town,"15,500","14,800",700,4.3%,N/A,N/A
Milpitas city,"39,900","37,800","2,200",5.4%,N/A,N/A
Morgan Hill city,"24,000","22,800","1,200",4.8%,N/A,N/A
Mountain View city,"49,100","47,600","1,500",3.1%,N/A,N/A
Palo Alto city,"34,700","33,700","1,100",3.1%,N/A,N/A
San Jose city,"535,900","507,200","28,700",5.4%,N/A,N/A
San Martin CDP,"3,600","3,400",200,5.9%,0.003489,0.004344
Santa Clara city,"70,600","67,700","2,900",4.1%,N/A,N/A
Saratoga city,"14,400","13,800",600,3.9%,N/A,N/A
Sunnyvale city,"84,500","81,400","3,100",3.7%,N/A,N/A
,,,,,,
,,,,,,
Santa Cruz County                                           ,"133,100","123,900","9,200",6.9%,1.000000,1.000000
,,,,,,
Aptos CDP,"3,200","3,000",200,5.9%,0.024380,0.020406
Aptos Hills Larkin Valley CDP,700,600,0,3.2%,0.005121,0.002255
Ben Lomond CDP,"3,700","3,400",300,8.7%,0.027185,0.034798
Boulder Creek CDP,"2,700","2,300",300,12.8%,0.018724,0.036838
Capitola city,"5,000","4,900",200,3.4%,0.039243,0.018795
Corralitos CDP,"1,300","1,100",200,15.4%,0.008820,0.021587
Day Valley CDP,"1,400","1,300",100,5.2%,0.010564,0.007840
Felton CDP,"1,900","1,700",100,7.6%,0.013875,0.015251
Freedom CDP,"1,700","1,500",200,13.0%,0.011970,0.024058
Interlaken CDP,"3,600","3,400",200,5.1%,0.027735,0.019869
Live Oak CDP,"8,400","7,900",500,5.4%,0.063850,0.049082
Rio del Mar CDP,"4,500","4,200",300,7.2%,0.033888,0.035335
Santa Cruz city,"31,300","29,700","1,600",5.0%,N/A,N/A
Scotts Valley city,"6,000","5,800",200,3.7%,0.046701,0.024165
Soquel CDP,"5,400","5,200",300,4.8%,0.041727,0.028354
Twin Lakes CDP,"2,700","2,600",100,5.0%,0.020761,0.014606
Watsonville city,"24,200","21,000","3,300",13.5%,N/A,N/A
,,,,,,
,,,,,,
Santa Barbara County                                        ,"219,900","207,200","12,700",5.8%,1.000000,1.000000
,,,,,,
Buellton city,"2,900","2,900",100,2.6%,0.013851,0.006013
Carpinteria city,"6,900","6,500",400,5.7%,0.031377,0.030790
Goleta city,"18,300","17,600",700,3.9%,N/A,N/A
Guadalupe city,"3,600","3,300",300,7.1%,0.016105,0.020141
Isla Vista CDP,"8,700","7,500","1,200",13.9%,0.036090,0.094834
Lompoc city,"17,500","16,100","1,400",8.1%,N/A,N/A
Los Alamos CDP,700,700,0,0.7%,0.003212,0.000362
Mission Canyon CDP,"1,300","1,300",0,1.2%,0.006196,0.001159
Mission Hills CDP,"2,000","1,900",100,5.9%,0.009142,0.009346
Montecito CDP,"3,100","2,800",200,7.2%,0.013723,0.017460
Orcutt CDP,"14,900","14,200",600,4.2%,0.068761,0.049047
Santa Barbara city,"50,500","48,300","2,200",4.3%,N/A,N/A
Santa Maria city,"49,900","45,600","4,300",8.5%,N/A,N/A
Santa Ynez CDP,"2,300","2,200",0,0.2%,0.010847,0.000290
Solvang city,"3,100","2,900",100,4.6%,0.014064,0.010940
Summerland CDP,200,200,0,18.5%,0.000872,0.003188
Toro Canyon CDP,700,600,100,8.3%,0.003003,0.004419
Vandenberg AFB CDP,800,700,100,9.7%,0.003340,0.005796
Vandenberg Village CDP,"3,400","3,300",200,4.6%,0.015873,0.012461
,,,,,,
,,,,,,
Sonoma County                                               ,"243,700","230,200","13,500",5.5%,1.000000,1.000000
,,,,,,
Bodega Bay CDP,700,600,100,20.4%,0.002423,0.010575
Boyes Hot Springs CDP,"3,500","3,400",100,3.6%,0.014798,0.009383
Cloverdale city,"4,300","4,300",100,1.5%,0.018593,0.004766
Cotati city,"4,100","3,900",200,5.2%,0.016835,0.015639
El Verano CDP,"1,500","1,400",200,11.8%,0.005907,0.013479
Fetters Hot Springs Agua Caliente CDP,"1,900","1,900",100,3.5%,0.008135,0.005064
Forestville CDP,"2,000","2,000",100,3.8%,0.008485,0.005734
Glen Ellen CDP,600,600,0,6.4%,0.002407,0.002830
Graton CDP,900,800,100,10.3%,0.003342,0.006479
Guerneville CDP,"2,400","2,200",200,9.7%,0.009579,0.017501
Healdsburg city,"5,400","5,000",300,6.3%,0.021807,0.024873
Monte Rio CDP,400,400,0,9.4%,0.001719,0.003053
Occidental CDP,600,600,0,3.9%,0.002586,0.001787
Petaluma city,"31,800","30,300","1,500",4.8%,N/A,N/A
Rohnert Park city,"22,600","21,300","1,300",5.7%,N/A,N/A
Santa Rosa city,"85,500","80,400","5,100",5.9%,N/A,N/A
Sebastopol city,"3,800","3,600",200,5.9%,0.015431,0.016607
Sonoma city,"5,000","4,800",200,4.8%,0.020773,0.018022
Windsor town,"13,500","12,700",700,5.4%,N/A,N/A
,,,,,,
,,,,,,
Sierra County                                               ,"1,310","1,230",80,6.1%,1.000000,1.000000
,,,,,,
Loyalton city,390,380,10,2.6%,0.311464,0.131387
,,,,,,
,,,,,,
Siskiyou County                                             ,"16,700","15,350","1,360",8.1%,1.000000,1.000000
,,,,,,
Dunsmuir city,780,710,70,9.5%,0.046092,0.054455
McCloud CDP,310,290,20,6.1%,0.018908,0.014144
Mount Shasta city,"1,340","1,290",50,3.6%,0.084330,0.036068
Weed city,960,880,80,8.4%,0.057509,0.060113
Yreka city,"2,920","2,790",130,4.5%,0.181769,0.096181
,,,,,,
,,,,,,
San Joaquin County                                          ,"336,900","308,000","28,900",8.6%,1.000000,1.000000
,,,,,,
August CDP,"3,600","3,300",200,6.1%,0.010864,0.007583
Country Club CDP,"4,300","3,900",400,9.3%,0.012748,0.013961
Escalon city,"3,300","3,000",300,9.1%,0.009875,0.010578
Farmington CDP,100,100,0,0.0%,0.000253,0.000000
French Camp CDP,"1,000","1,000",100,6.5%,0.003084,0.002294
Garden Acres CDP,"4,600","4,000",600,13.6%,0.012849,0.021467
Kennedy CDP,"1,000",900,200,16.9%,0.002828,0.006106
Lathrop city,"10,300","9,300",900,9.1%,N/A,N/A
Lincoln Village CDP,"1,300","1,200",100,9.7%,0.003829,0.004394
Linden CDP,900,700,100,14.3%,0.002412,0.004278
Lockeford CDP,"1,800","1,600",200,8.5%,0.005270,0.005172
Lodi city,"30,600","28,200","2,400",7.9%,N/A,N/A
Manteca city,"39,400","36,500","2,900",7.3%,N/A,N/A
Morada CDP,"1,600","1,600",0,1.0%,0.005066,0.000544
Ripon city,"7,700","7,400",200,3.0%,0.024187,0.007856
Stockton city,"133,100","119,900","13,200",9.9%,N/A,N/A
Taft Mosswood CDP,600,500,100,14.2%,0.001615,0.002839
Tracy city,"45,700","42,700","3,000",6.5%,N/A,N/A
,,,,,,
,,,,,,
Sutter County                                               ,"45,400","41,300","4,100",8.9%,1.000000,1.000000
,,,,,,
Live Oak city,"3,900","3,600",200,5.7%,0.088029,0.054503
Sutter CDP,"1,300","1,200",200,11.4%,0.028295,0.037307
Yuba City city,"31,400","28,500","2,900",9.2%,N/A,N/A
,,,,,,
,,,,,,
Tehama County                                               ,"25,620","23,770","1,840",7.2%,1.000000,1.000000
,,,,,,
Corning city,"3,740","3,540",200,5.3%,0.149083,0.108402
Los Molinos CDP,640,590,50,7.4%,0.024866,0.025686
Manton CDP,70,60,10,12.3%,0.002383,0.004354
Mineral CDP,60,40,20,25.9%,0.001806,0.008272
Rancho Tehama Reserve CDP,540,500,40,7.9%,0.021023,0.023509
Red Bluff city,"5,260","4,820",440,8.3%,0.202813,0.238137
Tehama city,170,170,0,0.6%,0.006995,0.000435
,,,,,,
,,,,,,
Trinity County                                              ,"4,560","4,270",290,6.3%,1.000000,1.000000
,,,,,,
Hayfork CDP,590,540,50,8.0%,0.126362,0.162651
Lewiston CDP,590,570,20,4.1%,0.132644,0.081325
Weaverville CDP,"1,470","1,360",110,7.6%,0.318493,0.385542
,,,,,,
,,,,,,
Tuolumne County                                             ,"20,100","18,640","1,460",7.3%,1.000000,1.000000
,,,,,,
Chinese Camp CDP,40,20,20,42.9%,0.001068,0.010021
Columbia CDP,820,730,90,10.9%,0.039181,0.060654
East Sonora CDP,820,820,0,0.0%,0.044056,0.000000
Jamestown CDP,"1,300","1,200",100,7.8%,0.064250,0.069620
Mi Wuk Village CDP,470,420,50,10.6%,0.022608,0.034283
Mono Vista CDP,"1,570","1,460",110,6.8%,0.078269,0.072257
Sonora city,"1,850","1,710",140,7.7%,0.091686,0.097574
Soulsbyville CDP,960,860,100,10.3%,0.046052,0.067511
Tuolumne City CDP,500,500,0,0.0%,0.026600,0.000000
Twain Harte CDP,"1,050",980,70,6.4%,0.052551,0.045886
,,,,,,
,,,,,,
Solano County                                               ,"200,700","185,800","14,900",7.4%,1.000000,1.000000
,,,,,,
Benicia city,"13,900","13,200",700,5.2%,N/A,N/A
Dixon city,"9,100","8,600",500,5.5%,0.046024,0.033656
Elmira CDP,100,100,0,9.2%,0.000688,0.000894
Fairfield city,"51,600","47,900","3,700",7.2%,N/A,N/A
Green Valley CDP,700,700,0,0.0%,0.003761,0.000000
Rio Vista city,"3,500","2,800",600,18.0%,0.015263,0.041772
Suisun City city,"13,700","12,600","1,100",7.8%,N/A,N/A
Vacaville city,"44,400","41,600","2,800",6.3%,N/A,N/A
Vallejo city,"54,400","49,600","4,700",8.7%,N/A,N/A
,,,,,,
,,,,,,
Tulare County                                               ,"201,200","179,900","21,300",10.6%,1.000000,1.000000
,,,,,,
Alpaugh CDP,300,200,100,27.8%,0.001346,0.004368
Cutler CDP,"2,100","1,700",500,23.0%,0.009195,0.023153
Dinuba city,"11,700","10,000","1,600",13.8%,N/A,N/A
Ducor CDP,200,200,0,7.5%,0.001031,0.000704
Earlimart CDP,"3,700","3,000",600,17.5%,0.016853,0.030151
East Orosi CDP,200,200,100,25.3%,0.000967,0.002771
East Porterville CDP,"2,100","1,500",600,27.7%,0.008277,0.026722
Exeter city,"4,100","3,400",800,18.6%,0.018679,0.035974
Farmersville city,"4,700","4,100",600,12.0%,0.022994,0.026394
Goshen CDP,"2,200","2,100",100,5.8%,0.011598,0.006058
Ivanhoe CDP,"1,800","1,700",200,9.6%,0.009275,0.008313
Lemon Cove CDP,100,100,0,5.6%,0.000742,0.000376
Lindsay city,"5,200","4,100","1,100",21.1%,0.022652,0.051237
London CDP,600,500,100,15.7%,0.002665,0.004180
Pixley CDP,"1,600","1,300",300,16.8%,0.007198,0.012211
Poplar Cotton Center CDP,"1,100",800,400,31.9%,0.004256,0.016813
Porterville city,"24,800","21,600","3,300",13.1%,N/A,N/A
Richgrove CDP,900,600,300,35.7%,0.003076,0.014371
Springville CDP,200,100,0,10.4%,0.000817,0.000798
Strathmore CDP,"1,200",900,300,26.0%,0.004827,0.014277
Terra Bella CDP,500,300,200,34.0%,0.001885,0.008219
Three Rivers CDP,"1,300","1,200",100,5.6%,0.006664,0.003334
Tipton CDP,"1,400","1,200",100,10.3%,0.006808,0.006575
Traver CDP,200,200,0,10.5%,0.001185,0.001174
Tulare city,"28,700","26,400","2,300",8.1%,N/A,N/A
Visalia city,"61,500","57,200","4,200",6.9%,N/A,N/A
Woodlake city,"2,700","2,500",200,8.8%,0.013761,0.011224
Woodville CDP,800,600,200,19.8%,0.003482,0.007279
,,,,,,
,,,,,,
Yolo County                                                 ,"106,700","100,300","6,300",5.9%,1.000000,1.000000
,,,,,,
Davis city,"34,700","33,400","1,300",3.9%,N/A,N/A
Esparto CDP,"1,900","1,800",100,3.2%,0.018051,0.009307
West Sacramento city,"25,400","23,800","1,600",6.2%,N/A,N/A
Winters city,"4,000","3,900",100,3.0%,0.038522,0.019113
Woodland city,"30,300","28,000","2,200",7.4%,N/A,N/A
,,,,,,
,,,,,,
Yuba County                                                 ,"31,000","28,400","2,600",8.4%,1.000000,1.000000
,,,,,,
Beale AFB CDP,200,200,0,9.5%,0.006709,0.007491
Challenge Brownsville CDP,200,200,0,3.8%,0.008149,0.003277
Linda CDP,"8,600","7,600","1,100",12.4%,0.266911,0.411985
Loma Rica CDP,900,800,100,11.1%,0.029322,0.039794
Marysville city,"4,600","4,300",400,8.1%,0.149851,0.143258
Olivehurst CDP,"6,900","6,300",600,8.1%,0.222928,0.214419
Wheatland city,"1,600","1,600",0,2.6%,0.055339,0.015918
