City,2015,2016,2017,2018,2019,2020,2021
Fountain Valley,635567.3,660762,718377.3,781503.8,791709,835787.5,952356.6
Fowler,234594.5,254162.7,274448.3,291666.1,302309.4,318870.5,371099
Frazier Park,140365.1,153811.4,170025.4,190858.9,205151.3,223330.2,263124.6
Freedom,408713.6,445055.3,474204.3,514745.8,529734.4,551226.7,637207.6
Fremont,855355.4,945223.8,1000794.2,1157475.2,1129435.1,1124555.6,1318832.3
French Camp,228708.2,264580.1,298726.8,335624.8,366882.8,387687.1,463992.9
Fresno,191748.1,205960.9,222825.2,245029.7,258924.4,273042,319359.6
Friant,371386.3,386205.5,398096.7,421112.8,431560.2,446841.9,522704.4
Fullerton,561433.7,579643.9,630752.4,678576.4,680952.8,715270.4,813461
Fulton,564524.1,624446.8,688876.1,748940.9,761687.2,777496.9,896044.6
Galt,286038.9,314933.7,345868.6,376962.2,390764.9,414994.5,489521.8
Garberville,390821.8,432791.1,475920.5,502140,518830.9,503193.7,522440.1
Garden Acres,129872.4,152435.9,181284.2,211460.3,232279,254973.6,302356.1
Garden Grove,466249.3,486744.3,539278.8,596691.5,609442,650973.7,742053.3
Garden Valley,291647.7,319702,353228.4,375797.6,381827.2,386289.7,453047.4
Gardena,387386.2,406942.3,455338.1,521078.9,555029.8,589705.2,670406.8
Gasquet,225888.6,232627.3,249128.3,268651.5,286696.4,319491.5,364148.6
Georgetown,255640.4,283005.5,312982.4,330127.4,338846.2,340906.6,402457.7
Gerber,154192.4,165587.7,172508.2,189708.4,209187.4,229740.6,268996.5
Geyserville,865224.6,949851.6,1001661.7,1106950.3,1128229.4,1151104.3,1321334.2
Gilroy,600665.5,647749.2,669727.5,764404.6,773047.6,794843.8,932166.6
Glen Ellen,896359,974795.4,1002327.6,1080410.6,1071657.2,1063191,1231541.9
Glendale,664577.2,688137.7,753669.8,853494.4,889182.2,937947.8,1078922.7
Glendora,508834.3,521089.9,560569.4,608905.3,615148.2,643993.9,739445
Gold Run,304850.6,324711.1,352626.3,381398.5,386098,399850.9,448110.8
Goleta,809012.1,852307.7,877080.2,895006,900970.2,921523.9,1094723.6
Gonzales,288052.9,328640.9,357861.5,382046.5,403158.2,432272.5,506420.3
Graeagle,236618.1,246289.6,267169.4,293675,311703.8,315935.6,378962.9
Grand Terrace,289719.1,304570.5,336198.2,374561,376895.9,396668.3,469838.8
Granite Bay,651954.6,680120,719274.7,760612.3,790509.2,830545.8,1015870.8
Grass Valley,327003.5,352092.8,378918.8,410204.5,415686.9,426770.2,498743.2
Graton,523650.5,577222.5,619713.5,676754.5,678661.4,693836.7,753478.1
Green Valley,211174.7,224734.8,255680.6,291412.9,311611.2,347368.4,398851.3
Green Valley Lake,143396.8,152189.3,168219.7,194793.2,205293.7,211812.1,271842.3
Greenfield,230295.3,267527.9,293128.3,318941.7,339541,370051.3,435387.3
Greenville,148518.2,164731.4,175979.6,197178.6,213272.6,221002.4,258843
Greenwood,305419.2,343392.8,377408.6,394313,398082.8,399525.4,467985.8
Grenada,136302.8,146595.4,154156.1,164177.9,176548.7,181717.3,225717.1
Gridley,172835.1,189735.7,207112.6,227147.4,251252.4,269653.1,309454.8
Grover Beach,415980.4,442965.6,493334.1,523367.5,530339.3,545878.6,620416.8
